"DATE","TIME PERIOD","HICP - Overall index (ICP.M.PL.N.000000.4.ANR)"
"2015-08-31","2015Aug","-0.4"
"2015-09-30","2015Sep","-0.6"
"2015-10-31","2015Oct","-0.6"
"2015-11-30","2015Nov","-0.5"
"2015-12-31","2015Dec","-0.4"
"2016-01-31","2016Jan","-0.3"
"2016-02-29","2016Feb","-0.2"
"2016-03-31","2016Mar","-0.4"
"2016-04-30","2016Apr","-0.5"
"2016-05-31","2016May","-0.4"
"2016-06-30","2016Jun","-0.4"
"2016-07-31","2016Jul","-0.6"
"2016-08-31","2016Aug","-0.5"
"2016-09-30","2016Sep","-0.2"
"2016-10-31","2016Oct","0.1"
"2016-11-30","2016Nov","0.2"
"2016-12-31","2016Dec","0.9"
"2017-01-31","2017Jan","1.4"
"2017-02-28","2017Feb","1.9"
"2017-03-31","2017Mar","1.8"
"2017-04-30","2017Apr","1.8"
"2017-05-31","2017May","1.5"
"2017-06-30","2017Jun","1.3"
"2017-07-31","2017Jul","1.4"
"2017-08-31","2017Aug","1.4"
"2017-09-30","2017Sep","1.6"
"2017-10-31","2017Oct","1.6"
"2017-11-30","2017Nov","2.0"
"2017-12-31","2017Dec","1.7"
"2018-01-31","2018Jan","1.6"
"2018-02-28","2018Feb","0.7"
"2018-03-31","2018Mar","0.7"
"2018-04-30","2018Apr","0.9"
"2018-05-31","2018May","1.2"
"2018-06-30","2018Jun","1.4"
"2018-07-31","2018Jul","1.4"
"2018-08-31","2018Aug","1.4"
"2018-09-30","2018Sep","1.5"
"2018-10-31","2018Oct","1.5"
"2018-11-30","2018Nov","1.1"
"2018-12-31","2018Dec","0.9"
"2019-01-31","2019Jan","0.6"
"2019-02-28","2019Feb","1.3"
"2019-03-31","2019Mar","1.7"
"2019-04-30","2019Apr","2.1"
"2019-05-31","2019May","2.2"
"2019-06-30","2019Jun","2.3"
"2019-07-31","2019Jul","2.5"
"2019-08-31","2019Aug","2.6"
"2019-09-30","2019Sep","2.4"
"2019-10-31","2019Oct","2.3"
"2019-11-30","2019Nov","2.4"
"2019-12-31","2019Dec","3.0"
"2020-01-31","2020Jan","3.8"
"2020-02-29","2020Feb","4.1"
"2020-03-31","2020Mar","3.9"
"2020-04-30","2020Apr","2.9"
"2020-05-31","2020May","3.4"
"2020-06-30","2020Jun","3.8"
"2020-07-31","2020Jul","3.7"
"2020-08-31","2020Aug","3.7"
"2020-09-30","2020Sep","3.8"
"2020-10-31","2020Oct","3.8"
"2020-11-30","2020Nov","3.7"
"2020-12-31","2020Dec","3.4"
"2021-01-31","2021Jan","3.6"
"2021-02-28","2021Feb","3.6"
"2021-03-31","2021Mar","4.4"
"2021-04-30","2021Apr","5.1"
"2021-05-31","2021May","4.6"
"2021-06-30","2021Jun","4.1"
"2021-07-31","2021Jul","4.7"
"2021-08-31","2021Aug","5.0"
"2021-09-30","2021Sep","5.6"
"2021-10-31","2021Oct","6.4"
"2021-11-30","2021Nov","7.4"
"2021-12-31","2021Dec","8.0"
"2022-01-31","2022Jan","8.7"
"2022-02-28","2022Feb","8.1"
"2022-03-31","2022Mar","10.2"
"2022-04-30","2022Apr","11.4"
"2022-05-31","2022May","12.8"
"2022-06-30","2022Jun","14.2"
"2022-07-31","2022Jul","14.2"
"2022-08-31","2022Aug","14.8"
"2022-09-30","2022Sep","15.7"
"2022-10-31","2022Oct","16.4"
"2022-11-30","2022Nov","16.1"
"2022-12-31","2022Dec","15.3"
"2023-01-31","2023Jan","15.9"
"2023-02-28","2023Feb","17.2"
"2023-03-31","2023Mar","15.2"
"2023-04-30","2023Apr","14.0"
"2023-05-31","2023May","12.5"
"2023-06-30","2023Jun","11.0"
"2023-07-31","2023Jul","10.3"
"2023-08-31","2023Aug","9.5"
"2023-09-30","2023Sep","7.7"
"2023-10-31","2023Oct","6.3"
"2023-11-30","2023Nov","6.3"
"2023-12-31","2023Dec","6.2"
"2024-01-31","2024Jan","4.5"
"2024-02-29","2024Feb","3.7"
"2024-03-31","2024Mar","2.7"
"2024-04-30","2024Apr","3.0"
"2024-05-31","2024May","2.8"
"2024-06-30","2024Jun","2.9"
"2024-07-31","2024Jul","4.0"
"2024-08-31","2024Aug","4.0"
"2024-09-30","2024Sep","4.2"
"2024-10-31","2024Oct","4.2"
"2024-11-30","2024Nov","3.9"
"2024-12-31","2024Dec","3.9"
"2025-01-31","2025Jan","4.3"
"2025-02-28","2025Feb","4.3"
"2025-03-31","2025Mar","4.4"
"2025-04-30","2025Apr","3.7"
"2025-05-31","2025May","3.5"
"2025-06-30","2025Jun","3.4"
"2025-07-31","2025Jul","2.9"
"2025-08-31","2025Aug","2.7"
"2025-09-30","2025Sep","2.9"
"2025-10-31","2025Oct","2.9"
"2025-11-30","2025Nov","2.6"
"2025-12-31","2025Dec","2.5"
