"DATE","TIME PERIOD","HICP - Food incl. alcohol and tobacco (ICP.M.PL.N.FOOD00.4.ANR)"
"2007-07-31","2007Jul","4.1"
"2007-08-31","2007Aug","3.3"
"2007-09-30","2007Sep","4.9"
"2007-10-31","2007Oct","5.6"
"2007-11-30","2007Nov","6.6"
"2007-12-31","2007Dec","7.2"
"2008-01-31","2008Jan","7.3"
"2008-02-29","2008Feb","7.0"
"2008-03-31","2008Mar","6.6"
"2008-04-30","2008Apr","6.5"
"2008-05-31","2008May","6.5"
"2008-06-30","2008Jun","6.8"
"2008-07-31","2008Jul","7.2"
"2008-08-31","2008Aug","6.8"
"2008-09-30","2008Sep","5.5"
"2008-10-31","2008Oct","5.0"
"2008-11-30","2008Nov","4.6"
"2008-12-31","2008Dec","4.8"
"2009-01-31","2009Jan","4.9"
"2009-02-28","2009Feb","5.3"
"2009-03-31","2009Mar","6.6"
"2009-04-30","2009Apr","7.4"
"2009-05-31","2009May","7.0"
"2009-06-30","2009Jun","6.6"
"2009-07-31","2009Jul","7.3"
"2009-08-31","2009Aug","7.0"
"2009-09-30","2009Sep","5.9"
"2009-10-31","2009Oct","5.4"
"2009-11-30","2009Nov","5.1"
"2009-12-31","2009Dec","4.9"
"2010-01-31","2010Jan","4.7"
"2010-02-28","2010Feb","4.4"
"2010-03-31","2010Mar","3.5"
"2010-04-30","2010Apr","2.8"
"2010-05-31","2010May","2.8"
"2010-06-30","2010Jun","3.7"
"2010-07-31","2010Jul","2.8"
"2010-08-31","2010Aug","2.8"
"2010-09-30","2010Sep","4.2"
"2010-10-31","2010Oct","4.6"
"2010-11-30","2010Nov","4.6"
"2010-12-31","2010Dec","4.3"
"2011-01-31","2011Jan","5.1"
"2011-02-28","2011Feb","5.3"
"2011-03-31","2011Mar","6.3"
"2011-04-30","2011Apr","6.3"
"2011-05-31","2011May","6.8"
"2011-06-30","2011Jun","5.2"
"2011-07-31","2011Jul","4.8"
"2011-08-31","2011Aug","4.9"
"2011-09-30","2011Sep","3.5"
"2011-10-31","2011Oct","3.4"
"2011-11-30","2011Nov","4.0"
"2011-12-31","2011Dec","4.5"
"2012-01-31","2012Jan","4.3"
"2012-02-29","2012Feb","4.6"
"2012-03-31","2012Mar","4.0"
"2012-04-30","2012Apr","3.6"
"2012-05-31","2012May","3.2"
"2012-06-30","2012Jun","5.1"
"2012-07-31","2012Jul","4.8"
"2012-08-31","2012Aug","4.9"
"2012-09-30","2012Sep","5.0"
"2012-10-31","2012Oct","4.6"
"2012-11-30","2012Nov","3.9"
"2012-12-31","2012Dec","3.9"
"2013-01-31","2013Jan","3.5"
"2013-02-28","2013Feb","3.0"
"2013-03-31","2013Mar","2.2"
"2013-04-30","2013Apr","2.3"
"2013-05-31","2013May","2.1"
"2013-06-30","2013Jun","1.4"
"2013-07-31","2013Jul","2.8"
"2013-08-31","2013Aug","2.8"
"2013-09-30","2013Sep","2.9"
"2013-10-31","2013Oct","2.5"
"2013-11-30","2013Nov","2.2"
"2013-12-31","2013Dec","2.1"
"2014-01-31","2014Jan","2.4"
"2014-02-28","2014Feb","2.4"
"2014-03-31","2014Mar","2.0"
